,issue_id,type,status,resolution,component,priority,reporter,created,assigned,assignee,resolved,created.1,assigned.1,summary,description,affected_version,fixed_version,votes,watches,description_words,assingnee_count,comment_count,commenter,Surprising,Dormant,Blocker,Security,Performance,Breakage,commit_count,file_count,files
0,12,Improvement,Resolved,Fixed,   ,Major,Eric Yang,2011/09/26 23:42:56 +0100,2011/09/26 23:42:56 +0100,Eric Yang,2011/09/26 23:44:36 +0100,0.001157407,0.001157407,"['add', 'addit', 'transit', 'state']","['run', 'server', 'daemon', 'current', 'state', 'start', 'start', 'would', 'nice', 'transit', 'state', 'start', 'stop']",0.1.0,0.1.0,0,0,23,1,1,1,0,0,0,0,0,0,0,0,
1,46,Improvement,Resolved,Fixed,ambari-agent   ,Major,Eric Yang,2011/10/07 21:49:04 +0100,2011/10/07 21:49:04 +0100,Eric Yang,2011/10/07 21:50:48 +0100,0.0012037039999999999,0.001203704,"['preserv', 'cluster', 'id', 'blueprint', 'name', 'blueprint', 'revis', 'agent', 'local', 'disk']","['agent', 'execut', 'command', 'behav', 'control', 'agent', 'store', 'cluster', 'id', 'blueprint', 'name', 'blueprint', 'revis', 'local', 'disk', 'keep', 'track', 'current', 'deploy', 'state', 'agent']",0.1.0,0.1.0,0,0,34,1,1,1,0,0,0,0,0,0,0,0,
2,199,Bug,Resolved,Fixed,ambari-server   ,Major,Jitendra Nath Pandey,2012/05/09 22:05:24 +0100,2012/05/09 22:05:24 +0100,Jitendra Nath Pandey,2012/05/09 23:20:11 +0100,0.05193287,0.05193287,"['remov', 'import', 'mysql', 'puppet', 'modul', 'manifest']","['remov', 'import', 'mysql', 'puppet', 'modul', 'manifest', 'modul', 'deprec']",0.9.0,0.9.0,0,0,13,1,1,1,1,0,0,0,0,0,1,2,CHANGES.txt;hmc/php/puppet/genmanifest/generateManifest.php;
3,217,Bug,Resolved,Fixed,   ,Major,vitthal (Suhas) Gogate,2012/05/10 22:41:47 +0100,2012/05/10 22:41:47 +0100,vitthal (Suhas) Gogate,2012/05/11 17:13:23 +0100,0.7719444440000001,0.771944444,"['alert', 'tabl', 'right', 'need', 'tie', 'visual', 'verbal', 'context', 'content', 'display']","['current', 'dashboard', 'servic', 'entri', 'click', 'right', 'side', 'alert', 'tabl', 'caption', 'indic', 'show', 'alert', 'relat', 'servic', 'cpation', 'tabl', 'chang', 'indic', 'correspond', 'servic', 'name']",0.9.0,0.9.0,0,0,37,1,2,2,1,0,0,0,0,0,0,0,
4,222,Bug,Resolved,Fixed,   ,Major,vitthal (Suhas) Gogate,2012/05/11 01:10:46 +0100,2012/05/11 01:10:46 +0100,vitthal (Suhas) Gogate,2012/05/15 02:11:31 +0100,4.0421875,4.0421875,"['remov', 'word', 'alert', 'nagio', 'alert', 'descript']","['sort', 'redund']",0.9.0,0.9.0,0,1,6,1,1,1,1,0,0,0,0,0,0,0,
5,226,Bug,Resolved,Fixed,   ,Minor,Suresh Srinivas,2012/05/11 18:29:32 +0100,null,Unassigned,2012/05/15 03:31:24 +0100,3.376296296,null,"['make', 'daemon', 'name', 'field', 'name', 'consist']","['follow', 'name', 'need', 'consist', 'hdfs', 'gt', 'hdfs', 'mapreduc', 'gt', 'mapreduc', 'zookeep', 'gt', 'zookeep', 'hadoop', 'gt', 'hadoop']",0.9.0,0.9.0,0,1,20,0,1,1,1,0,0,0,0,0,0,0,
6,237,Bug,Resolved,Fixed,ambari-server   ,Major,Jitendra Nath Pandey,2012/05/12 18:16:26 +0100,2012/05/12 18:16:26 +0100,Jitendra Nath Pandey,2012/05/16 07:36:09 +0100,3.555358796,3.555358796,"['refactor', 'puppet', 'kick', 'loop', 'easili', 'chang', 'retri', 'timeout']","['refactor', 'puppet', 'kick', 'loop', 'easili', 'chang', 'retri', 'timeout']",0.9.0,0.9.0,0,1,10,1,1,1,0,0,0,0,1,0,0,0,
7,245,Bug,Resolved,Fixed,ambari-server   ,Major,Jitendra Nath Pandey,2012/05/15 00:52:33 +0100,2012/05/15 00:52:33 +0100,Jitendra Nath Pandey,2012/05/17 21:00:13 +0100,2.838657407,2.838657407,"['support', 'data', 'cleanup', 'instal', 'fail']","['need', 'support', 'data', 'cleanup', 'cluster', 'instal', 'case', 'failur']",0.9.0,0.9.0,0,2,17,1,1,1,0,0,0,0,0,0,0,0,
8,247,Bug,Resolved,Fixed,   ,Major,Varun Kapoor,2012/05/15 02:13:48 +0100,2012/05/15 02:13:48 +0100,Varun Kapoor,2012/06/05 23:47:38 +0100,21.89849537,21.89849537,"['replac', 'index', 'php', 'cluster', 'php']","['like', 'titl', 'say', 'overwrit', 'index', 'php', 'content', 'cluster', 'php', 'make', 'sure', 'add', 'link', 'addnodeswizard', 'well']",0.9.0,0.9.0,0,2,22,1,1,1,0,0,0,0,0,0,0,0,
9,253,Bug,Resolved,Fixed,   ,Major,Ramya Sunil,2012/05/15 21:32:31 +0100,2012/05/15 21:32:31 +0100,Ramya Sunil,2012/05/17 20:58:51 +0100,1.97662037,1.97662037,"['support', 'uninstal', 'state', 'mysql', 'modul']","['current', 'support', 'uninstal', 'mysql', 'packag']",0.9.0,0.9.0,0,1,10,1,2,1,0,0,0,0,0,0,0,0,
10,256,Bug,Resolved,Fixed,   ,Major,Ramya Sunil,2012/05/15 22:52:19 +0100,2012/05/15 22:52:19 +0100,Ramya Sunil,2012/05/17 20:57:56 +0100,1.92056713,1.92056713,"['updat', 'hive', 'config', 'enabl', 'author']","['etc', 'hive', 'conf', 'hive', 'site', 'xml', 'lt', 'properti', 'gt', 'lt', 'name', 'gt', 'hive', 'secur', 'author', 'enabl', 'lt', 'name', 'gt', 'lt', 'valu', 'gt', 'true', 'lt', 'valu', 'gt', 'lt', 'descript', 'gt', 'enabl', 'disabl', 'hive', 'client', 'author', 'lt', 'descript', 'gt', 'lt', 'properti', 'gt', 'lt', 'properti', 'gt', 'lt', 'name', 'gt', 'hive', 'secur', 'author', 'manag', 'lt', 'name', 'gt', 'lt', 'valu', 'gt', 'org', 'apach', 'hcatalog', 'secur', 'hdfsauthorizationprovid', 'lt', 'valu', 'gt', 'lt', 'descript', 'gt', 'hive', 'client', 'author', 'manag', 'class', 'name', 'user', 'defin', 'author', 'class', 'implement', 'interfac', 'org', 'apach', 'hadoop', 'hive', 'ql', 'secur', 'author', 'hiveauthorizationprovid', 'lt', 'descript', 'gt', 'lt', 'properti', 'gt', 'etc', 'hive', 'conf', 'hive', 'env', 'sh', 'add', 'export', 'hive', 'aux', 'jar', 'path', 'usr', 'lib', 'hcatalog', 'share', 'hcatalog', 'hcatalog', 'jar']",0.9.0,0.9.0,0,1,46,1,2,1,0,0,0,0,0,0,0,0,
11,257,Bug,Resolved,Fixed,site   ,Major,Arpit Gupta,2012/05/15 23:00:57 +0100,2012/05/17 22:25:38 +0100,Vinod Kumar Vavilapalli,2012/05/18 22:57:30 +0100,2.997604167,1.02212963,"['manag', 'servic', 'section', 'empti', 'section', 'client', 'compon', 'instal']","['manag', 'servic', 'page', 'section', 'client', 'servic', 'long', 'run', 'process', 'user', 'compon', 'head', 'content', 'mayb', 'hide', 'head', 'servic', 'present']",0.9.0,0.9.0,0,3,44,1,2,2,0,0,0,0,0,0,0,0,
12,280,Bug,Resolved,Fixed,   ,Major,Vikram Dixit K,2012/05/16 23:42:16 +0100,2012/05/16 23:42:16 +0100,Vikram Dixit K,2012/05/18 07:05:43 +0100,1.307951389,1.307951389,"['cleanup', 'util']","['need', 'api', 'ui', 'figur', 'status', 'cluster']",0.9.0,0.9.0,0,2,15,1,2,2,0,0,0,0,0,0,0,0,
13,290,Bug,Resolved,Fixed,ambari-server   ,Major,Jitendra Nath Pandey,2012/05/17 03:49:18 +0100,2012/05/17 03:49:18 +0100,Varun Kapoor,2012/05/17 03:52:12 +0100,0.002013889,0.002013889,"['comment', 'addnodeswizardinit', 'js']","['comment', 'addnodeswizardinit', 'js']",0.9.0,0.9.0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,
14,292,Bug,Resolved,Fixed,ambari-web   ,Major,Jitendra Nath Pandey,2012/05/17 03:55:34 +0100,2012/05/17 03:55:34 +0100,Varun Kapoor,2012/05/17 03:58:26 +0100,0.001990741,0.001990741,"['html', 'spew', 'review', 'deploy', 'page']","['html', 'spew', 'review', 'deploy', 'page']",0.9.0,0.9.0,0,1,7,1,1,1,0,0,0,0,0,0,0,0,
15,300,Bug,Resolved,Fixed,   ,Major,Yusaku Sako,2012/05/17 07:44:03 +0100,2012/05/17 07:44:03 +0100,Yusaku Sako,2012/05/17 20:56:16 +0100,0.5501504629999999,0.550150463,"['chang', 'status', 'messag', 'success', 'error', 'locat', 'show', 'page', 'summari', 'box', 'rather', 'better', 'visibl']",[],0.9.0,0.9.0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,
16,310,Bug,Resolved,Fixed,   ,Major,Yusaku Sako,2012/05/18 04:11:17 +0100,2012/05/18 04:11:17 +0100,Yusaku Sako,2012/06/01 23:48:51 +0100,14.81775463,14.81775463,"['extern', 'messag', 'resourc', 'welcom', 'page', 'updat', 'style', 'various', 'page']",[],0.9.0,0.9.0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,
17,316,Bug,Resolved,Fixed,   ,Major,Vinod Kumar Vavilapalli,2012/05/18 21:33:10 +0100,2012/05/18 21:33:10 +0100,Vinod Kumar Vavilapalli,2012/06/05 22:46:22 +0100,18.05083333,18.05083333,"['grid', 'mount', 'point', 'page', 'let', 'one', 'pass', 'custom', 'mount', 'point']",[],0.9.0,0.9.0,0,2,1,1,2,2,0,0,0,0,0,0,0,0,
18,326,Bug,Resolved,Fixed,ambari-server   ,Major,Jitendra Nath Pandey,2012/05/19 00:13:40 +0100,2012/05/19 00:13:40 +0100,Jitendra Nath Pandey,2012/06/02 01:39:41 +0100,14.059733800000002,14.0597338,"['depend', 'ad', 'instal', 'phase']","['host', 'level', 'depend', 'set', 'run', 'stage', 'well', 'redund', 'assum', 'depend', 'instal', 'instal', 'stage']",0.9.0,0.9.0,0,3,25,1,3,2,0,0,0,0,0,0,0,0,
19,339,Bug,Resolved,Fixed,ambari-web   ,Major,Vikram Dixit K,2012/05/19 22:01:30 +0100,2012/05/20 01:39:12 +0100,Vikram Dixit K,2012/06/05 23:34:28 +0100,17.06456019,16.91337963,"['make', 'transitiontonextstag', 'robust']","['currentstag', 'null', 'proceed', 'transit']",0.9.0,0.9.0,0,1,12,1,1,1,0,0,0,0,0,0,0,0,
20,369,Bug,Resolved,Fixed,   ,Major,Yusaku Sako,2012/05/21 23:20:55 +0100,2012/05/21 23:20:55 +0100,Yusaku Sako,2012/06/06 22:04:46 +0100,15.94711806,15.94711806,"['improv', 'servic', 'manag', 'page', 'general', 'popup', 'style']",[],0.9.0,0.9.0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,
21,386,Bug,Resolved,Fixed,   ,Major,Hitesh Shah,2012/05/22 23:42:53 +0100,2012/05/22 23:42:53 +0100,Hitesh Shah,2012/06/06 22:58:39 +0100,14.96928241,14.96928241,"['singl', 'node', 'instal', 'instal', 'compon', 'recommend', 'num', 'map', 'reduc', 'task', 'high']","['use', 'lower', 'count', 'map', 'reduc', 'slot', 'singl', 'node', 'instal']",0.9.0,0.9.0,0,2,11,1,1,1,0,0,0,0,0,0,0,0,
22,393,Bug,Resolved,Fixed,   ,Major,Mahadev konar,2012/05/23 19:33:34 +0100,2012/05/23 19:33:34 +0100,Mahadev konar,2012/06/06 23:11:34 +0100,14.15138889,14.15138889,"['zookeep', 'myid', 'file', 'exist', 'zk', 'instal']","['zookeep', 'myid', 'file', 'exist', 'zk', 'instal']",0.9.0,0.9.0,0,2,8,1,1,1,0,0,0,0,0,0,0,0,
23,399,Bug,Resolved,Fixed,   ,Major,Yusaku Sako,2012/05/23 23:26:51 +0100,2012/05/23 23:26:51 +0100,Yusaku Sako,2012/06/06 23:26:35 +0100,13.99981481,13.99981481,"['uninstal', 'page', 'hang', 'spin', 'icon']",[],0.9.0,0.9.0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,
24,429,Bug,Resolved,Fixed,   ,Major,Mahadev konar,2012/05/25 22:10:04 +0100,2012/05/25 22:10:04 +0100,Mahadev konar,2012/06/07 01:52:31 +0100,12.15447917,12.15447917,"['fix', 'bug', 'jmx', 'pars', 'hbase']","['fix', 'bug', 'jmx', 'pars', 'hbase']",0.9.0,0.9.0,0,2,7,1,1,1,0,0,0,0,0,0,0,0,
25,433,Bug,Resolved,Fixed,ambari-server   ,Major,Vikram Dixit K,2012/05/26 00:35:40 +0100,2012/05/26 00:35:40 +0100,Vikram Dixit K,2012/06/07 01:57:10 +0100,12.05659722,12.05659722,"['use', 'servic', 'stop', 'instead', 'killal', 'uninstal']",[],0.9.0,0.9.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,
26,435,Bug,Resolved,Fixed,ambari-server   ,Major,Vikram Dixit K,2012/05/26 01:47:14 +0100,2012/05/26 01:47:14 +0100,Vikram Dixit K,2012/06/07 01:59:22 +0100,12.00842593,12.00842593,"['uninstal', 'need', 'updat', 'status', 'failur']","['enabl', 'rout', 'layer', 'redirect', 'appropri']",0.9.0,0.9.0,0,1,10,1,1,1,0,0,0,0,0,0,0,0,
27,450,Improvement,Resolved,Fixed,   ,Major,Yusaku Sako,2012/05/30 05:01:02 +0100,2012/05/30 05:01:02 +0100,Yusaku Sako,2012/06/07 02:22:24 +0100,7.889837963,7.889837963,"['boldifi', 'redifi', 'restart', 'hmc', 'messag', 'nagio', 'ganglia', 'hmc', 'host']",[],0.9.0,0.9.0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,
28,475,Bug,Resolved,Fixed,   ,Blocker,Yusaku Sako,2012/05/31 23:24:39 +0100,2012/06/01 00:22:12 +0100,Yusaku Sako,2012/06/07 03:02:41 +0100,6.151412037,6.111446759,"['add', 'miss', 'js', 'file', 'make', 'post', 'cluster', 'instal', 'add', 'node', 'work']",[],0.9.0,0.9.0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,
29,482,Bug,Resolved,Fixed,   ,Major,Yusaku Sako,2012/06/01 03:16:06 +0100,2012/06/01 03:16:06 +0100,Yusaku Sako,2012/06/07 03:17:53 +0100,6.0012384260000005,6.001238426,"['show', 'welcom', 'page', 'user', 'user', 'start', 'configur', 'cluster', 'start', 'deploy', 'yet']",[],0.9.0,0.9.0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,
30,486,Bug,Resolved,Fixed,   ,Major,Yusaku Sako,2012/06/01 04:39:12 +0100,2012/06/01 04:39:12 +0100,Yusaku Sako,2012/06/07 03:23:12 +0100,5.947222222000001,5.947222222,"['add', 'node', 'instal', 'mysql', 'server', 'hive']","['ad', 'slave', 'node', 'post', 'cluster', 'instal', 'instal', 'mysql', 'server', 'hive', 'select', 'servic', 'time', 'cluster', 'instal']",0.9.0,0.9.0,0,2,24,1,1,1,0,0,0,0,0,0,0,0,
31,501,Improvement,Resolved,Fixed,   ,Major,Yusaku Sako,2012/06/02 23:17:49 +0100,2012/06/02 23:17:49 +0100,Yusaku Sako,2012/06/07 03:43:44 +0100,4.1846643519999995,4.184664352,"['speed', 'page', 'load', 'reload', 'time']",[],0.9.0,0.9.0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,
32,510,Bug,Resolved,Fixed,   ,Major,Yusaku Sako,2012/06/05 03:56:41 +0100,2012/06/05 03:56:41 +0100,Yusaku Sako,2012/06/07 04:31:21 +0100,2.024074074,2.024074074,"['modifi', 'router', 'forc', 'redirect', 'add', 'node', 'progress', 'popup']",[],0.9.0,0.9.0,0,2,1,1,2,2,0,0,0,0,0,0,0,0,
33,512,Bug,Resolved,Fixed,   ,Major,Mahadev konar,2012/06/05 06:19:13 +0100,2012/06/05 06:19:13 +0100,Mahadev konar,2012/06/07 04:36:00 +0100,1.9283217590000001,1.928321759,"['fix', 'puppet', 'manifest', 'tarbal', 'download', 'via', 'rpms']",[],0.9.0,0.9.0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,
34,543,Bug,Resolved,Fixed,infra   ,Major,Vikram Dixit K,2012/06/09 03:01:03 +0100,2012/06/09 03:01:03 +0100,Vikram Dixit K,2012/06/09 03:10:25 +0100,0.00650463,0.00650463,"['rpm', 'name', 'need', 'correct']","['rpm', 'name', 'need', 'correct']",0.9.0,0.9.0,0,2,6,1,1,1,0,0,0,0,0,0,0,0,
35,547,Bug,Resolved,Fixed,   ,Major,Hitesh Shah,2012/06/11 23:25:58 +0100,2012/06/26 00:48:11 +0100,Hitesh Shah,2012/06/26 23:23:53 +0100,14.99855324,0.941458333,"['chang', 'os', 'type', 'check', 'node', 'bootstrap', 'allow', 'rhel', 'cento', 'node']","['hmc', 'php', 'frontend', 'addnod', 'verifyandupdatenodesinfo', 'php', 'hardcod', 'check', 'allow', 'rhel', 'cento', 'node']",0.9.0,0.9.0,0,1,10,1,2,1,0,0,1,0,0,0,0,0,
36,565,Bug,Resolved,Fixed,   ,Major,Yusaku Sako,2012/06/20 17:59:47 +0100,2012/06/20 17:59:47 +0100,Yusaku Sako,2012/06/21 01:45:29 +0100,0.323402778,0.323402778,"['remov', 'yui', 'sourc', 'file', 'svn']","['current', 'yui', 'sourc', 'file', 'svn', 'realli', 'need', 'check', 'svn', 'track', 'chang', 'pre', 'concaten', 'minifi', 'yui', 'js', 'file', 'need', 'file', 'run', 'ambari', 'anyhow', 'remov', 'svn', 'instead', 'checkin', 'tarbal']",0.9.0,0.9.0,0,2,53,1,4,2,0,0,0,0,0,0,0,0,
37,581,Bug,Resolved,Fixed,   ,Major,Jaimin D Jetly,2012/06/27 23:32:51 +0100,2012/06/27 23:32:51 +0100,Jaimin D Jetly,2012/06/28 01:28:03 +0100,0.08,0.08,"['special', 'charact', 'host', 'file', 'creat', 'common', 'window', 'editor', 'caus', 'issu']",[],0.9.0,0.9.0,0,2,1,1,5,2,0,0,0,0,0,0,0,0,
38,587,Bug,Resolved,Fixed,ambari-agent; ambari-server; ambari-web; documentation; infra; site; test   ,Major,Vikram Dixit K,2012/06/30 01:52:18 +0100,2012/06/30 01:52:18 +0100,Vikram Dixit K,2012/07/03 03:28:57 +0100,3.0671180560000004,3.067118056,"['rat', 'complianc', 'patch']","['ad', 'apach', 'licens', 'file', 'within', 'ambari', 'rat', 'tool', 'complianc']",0.9.0,0.9.0,0,2,13,1,5,2,0,0,0,0,0,0,0,0,
39,597,Bug,Resolved,Fixed,   ,Major,Mahadev konar,2012/07/05 07:00:08 +0100,2012/07/05 07:00:08 +0100,Mahadev konar,2012/07/05 07:13:33 +0100,0.00931713,0.00931713,"['remov', 'usr', 'bin', 'php', 'depend', 'rpm']",[],0.9.0,1,0,1,1,1,2,1,0,0,0,0,0,0,0,0,
40,635,Improvement,Resolved,Fixed,   ,Minor,Yusaku Sako,2012/07/13 18:21:50 +0100,2012/07/13 18:21:50 +0100,Yusaku Sako,2012/07/13 18:25:53 +0100,0.0028125,0.0028125,"['add', 'node', 'progress', 'partial', 'failur', 'let', 'user', 'continu', 'display', 'orang', 'bar', 'rather', 'red', 'bar', 'progress', 'popup']",[],0.9.0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,
41,638,Bug,Resolved,Fixed,   ,Major,Yusaku Sako,2012/07/17 00:56:27 +0100,2012/07/17 00:56:27 +0100,Yusaku Sako,2012/07/17 01:57:08 +0100,0.042141204,0.042141204,"['weird', 'custom', 'config', 'page', 'user', 'goe', 'back', 'previous', 'stage']","['issu', 'go', 'back', 'forth', 'differ', 'stage', 'cluster', 'instal', 'wizard', 'possibl', 'get', 'state', 'custom', 'config', 'form', 'submit', 'button', 'disabl', 'field', 'error', 'shown', 'step', 'replic', 'go', 'stage', 'submit', 'form', 'go', 'back', 'stage', 'go', 'stage', 'field', 'error', 'shown', 'issu', 'custom', 'config', 'stage', 'skip', 'get', 'review', 'deploy', 'go', 'back', 'stage', 'preced', 'custom', 'config', 'step', 'replic', 'go', 'thru', 'cluster', 'instal', 'wizard', 'stage', 'review', 'deploy', 'submit', 'form', 'go', 'back', 'stage', 'submit', 'form', 'stage', 'stage', 'skip', 'goe', 'direct', 'stage', 'go', 'back', 'stage', 'earlier', 'stage', 'skip']",0.9.0,0.9.0; 1.0,0,1,154,1,1,1,0,0,0,0,0,0,0,0,
42,1072,Improvement,Resolved,Fixed,ambari-web   ,Major,Srimanth Gunturi,2012/12/13 03:19:04 +0100,2012/12/13 03:19:04 +0100,Srimanth Gunturi,2013/01/10 20:58:25 +0100,28.73565972,28.73565972,"['chang', 'text', 'alert', 'xx', 'hour', 'ago']","['alert', 'text', 'like', 'ok', 'hourswarn', 'hourscrit', 'hour']",1.2.0,1.2.0,0,2,18,1,1,1,1,0,0,0,0,0,0,0,
43,1103,Bug,Resolved,Fixed,ambari-web   ,Major,ARUN KUMAR KANDREGULA,2012/12/19 00:46:49 +0100,2012/12/19 00:46:49 +0100,ARUN KUMAR KANDREGULA,2013/01/11 02:04:10 +0100,23.05371528,23.05371528,"['need', 'abl', 'reliabl', 'recov', 'case', 'browser', 'close', 'deploy', 'step', 'post', 'submiss', 'step', 'wizard']","['need', 'abl', 'reliabl', 'recov', 'case', 'browser', 'close', 'deploy', 'step', 'post', 'submiss', 'step', 'wizard', 'even', 'submit', 'step', 'take', 'step', 'browser', 'restart', 'ideal', 'take', 'monitor', 'page']",1.2.0,1.2.0,0,2,45,1,2,2,1,0,0,0,0,0,0,0,
44,1151,Bug,Resolved,Fixed,ambari-web   ,Critical,Yusaku Sako,2013/01/11 01:55:42 +0100,2013/01/11 01:57:37 +0100,Yusaku Sako,2013/01/11 01:57:37 +0100,0.001331019,0,"['reconfigur', 'fail', 'silent', 'fire', 'api', 'call', 'due', 'js', 'error']",[],1.2.0,1.2.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,
45,1153,Bug,Resolved,Fixed,ambari-web   ,Major,Yusaku Sako,2013/01/11 03:50:56 +0100,2013/01/11 03:50:56 +0100,ARUN KUMAR KANDREGULA,2013/01/11 03:52:24 +0100,0.0010185189999999998,0.001018519,"['host', 'jam', 'status', 'prepar', 'host', 'name', 'wrong']",[],1.2.0,1.2.1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,
46,1164,Bug,Resolved,Fixed,   ,Critical,Mahadev konar,2013/01/14 20:42:22 +0100,2013/02/01 00:10:30 +0100,John Speidel,2013/02/01 00:10:46 +0100,17.14472222,1.85E-04,"['disk', 'info', 'metric', 'memori', 'usag', 'sometim', 'show', 'hour']","['disk', 'info', 'metric', 'memori', 'usag', 'sometim', 'show', 'hour']",1.2.0,1.2.2,0,2,16,1,1,1,0,0,0,0,0,0,0,0,
